Timestamp,EventID,Username,SourceIP,Status,Description
2024-10-20 08:00:00,4624,john.doe,192.168.1.100,Success,Successful login
2024-10-20 08:05:00,4625,admin,203.0.113.50,Failed,Failed login attempt
2024-10-20 08:06:00,4625,admin,203.0.113.50,Failed,Failed login attempt
2024-10-20 08:07:00,4625,admin,203.0.113.50,Failed,Failed login attempt
2024-10-20 08:08:00,4625,admin,203.0.113.50,Failed,Failed login attempt
2024-10-20 08:09:00,4625,admin,203.0.113.50,Failed,Failed login attempt
2024-10-20 08:10:00,4624,admin,203.0.113.50,Success,Successful login after failures
2024-10-20 08:15:00,4672,admin,203.0.113.50,Success,Admin privileges assigned
2024-10-20 09:00:00,4720,admin,192.168.1.100,Success,New user account created
2024-10-20 09:30:00,4624,newuser,192.168.1.150,Success,New account first login
2024-10-20 10:00:00,4624,jane.smith,192.168.1.105,Success,Successful login
2024-10-20 11:00:00,4624,bob.jones,192.168.1.110,Success,Successful login
